Roboflow Version Name,Description,Tile Size,Image Size,YOLO Trained Image Size (long side),mAP50 (Box),mAP50-95 (Box),Precision (Box),Recall (Box),F1 (Box),AP pole,Precision pole,Recall pole,F1 pole,Frames Per Second,SAHI mAP50 (Box),SAHI mAP50-95 (Box),SAHI Precision (Box),SAHI Recall (Box),SAHI F1 (Box),SAHI AP pole,SAHI Precision pole,SAHI Recall pole,SAHI F1 pole,SAHI Frames Per Second
vineyard_object_detection_paper/58,RH Aug 2024 Mar 2025 July 2025 Full Resolution 39 Feet,n/a,4056x3040,1536x1536,0.4484510777950648,0.14727718135900922,0.4484510777950648,0.5911949685534591,0.5100236215315543,0.4484510777950648,0.4484510777950648,0.5911949685534591,0.5100236215315543,5.241820449098246,0.38332954910189004,0.13092171953441487,0.38332954910189004,0.5,0.43395983921474574,0.38332954910189004,0.38332954910189004,0.5,0.43395983921474574,0.6589292267640462
vineyard_object_detection_paper/59,RH Aug 2024 Mar 2025 July 2025 Full Resolution 65 Feet,n/a,4056x3040,1024x1024,0.6615967519417092,0.25812586822350087,0.6615967519417092,0.7303182579564489,0.6942610488596805,0.6615967519417092,0.6615967519417092,0.7303182579564489,0.6942610488596805,11.633705577652135,0.6207280160480422,0.24375763054227406,0.6207280160480422,0.695142378559464,0.6558310777146681,0.6207280160480422,0.6207280160480422,0.695142378559464,0.6558310777146681,0.6763160341081507
vineyard_object_detection_paper/60,RH Aug 2024 Mar 2025 July 2025 Full Resolution 100 Feet,n/a,4056x3040,1024x1024,0.1847367875846341,0.0666801495228309,0.1847367875846341,0.22469135802469137,0.20276456381734856,0.1847367875846341,0.1847367875846341,0.22469135802469137,0.20276456381734856,10.55328165490838,0.41773745661824185,0.13619758046984753,0.41773745661824185,0.5037037037037037,0.45671045126930454,0.41773745661824185,0.41773745661824185,0.5037037037037037,0.45671045126930454,0.8416085621839506
vineyard_object_detection_paper/61,RH Aug 2024 Mar 2025 July 2025 2x2 Tile 39 Feet,2x2,2028x1520,640x640,0.14301448956644655,0.030728192720449406,0.14301448956644655,0.2735562310030395,0.18783127480076844,0.14301448956644655,0.14301448956644655,0.2735562310030395,0.18783127480076844,38.371885595118414,0.2088510565840635,0.05674404667944907,0.2088510565840635,0.3161094224924012,0.2515228841601991,0.2088510565840635,0.2088510565840635,0.3161094224924012,0.2515228841601991,0.9681973673954389
vineyard_object_detection_paper/62,RH Aug 2024 Mar 2025 July 2025 4x4 Tile 39 Feet,4x4,1014x760,1536x1536,0.31377469170600725,0.08695493306977706,0.31377469170600725,0.4540682414698163,0.371104860967851,0.31377469170600725,0.31377469170600725,0.4540682414698163,0.371104860967851,19.835108861700487,0.2748472258568887,0.08066712599374463,0.2748472258568887,0.3674540682414698,0.3144746311861866,0.2748472258568887,0.2748472258568887,0.3674540682414698,0.3144746311861866,29.47118810579949
vineyard_object_detection_paper/63,RH Aug 2024 Mar 2025 July 2025 6x6 Tile 39 Feet,6x6,676x506,1024x1024,0.2182766228885912,0.07097774536885265,0.2182766228885912,0.255079006772009,0.23524716166528595,0.2182766228885912,0.2182766228885912,0.255079006772009,0.23524716166528595,42.461845211329724,0.20105898999757466,0.06659070639488832,0.20105898999757466,0.23927765237020315,0.21850974225471023,0.20105898999757466,0.20105898999757466,0.23927765237020315,0.21850974225471023,36.65167558795717
vineyard_object_detection_paper/64,RH Aug 2024 Mar 2025 July 2025 2x2 Tile 65 Feet,2x2,2028x1520,1024x1024,0.5324117969812588,0.18478194947580248,0.5324117969812588,0.6112956810631229,0.5691333462262632,0.5324117969812588,0.5324117969812588,0.6112956810631229,0.5691333462262632,27.014915676185666,0.5272609712572346,0.16052420653402713,0.5272609712572346,0.6262458471760798,0.5725063577453982,0.5272609712572346,0.5272609712572346,0.6262458471760798,0.5725063577453982,2.8672394647367416
vineyard_object_detection_paper/65,RH Aug 2024 Mar 2025 July 2025 4x4 Tile 65 Feet,4x4,1014x760,640x640,0.008125728341028173,0.0015270464553779881,0.008125728341028173,0.025373134328358207,0.01230938487359886,0.008125728341028173,0.008125728341028173,0.025373134328358207,0.01230938487359886,64.51447675082997,0.20072103472930466,0.05002596427055352,0.20072103472930466,0.3835820895522388,0.26353784780194156,0.20072103472930466,0.20072103472930466,0.3835820895522388,0.26353784780194156,2.690119959145112
vineyard_object_detection_paper/66,RH Aug 2024 Mar 2025 July 2025 6x6 Tile 65 Feet,6x6,676x506,1536x1536,0.29366029990478804,0.08656742804669344,0.29366029990478804,0.3815104166666667,0.3318700311650058,0.29366029990478804,0.29366029990478804,0.3815104166666667,0.3318700311650058,20.73555358080559,0.19398741878603756,0.05046365931058627,0.19398741878603756,0.2942708333333333,0.23383051544776887,0.19398741878603756,0.19398741878603756,0.2942708333333333,0.23383051544776887,35.827958135561765
vineyard_object_detection_paper/67,RH Aug 2024 Mar 2025 July 2025 2x2 Tile 100 Feet,2x2,2028x1520,1024x1024,0.39908300327918705,0.12032363466186434,0.39908300327918705,0.533175355450237,0.4564855227847534,0.39908300327918705,0.39908300327918705,0.533175355450237,0.4564855227847534,25.640062597809077,0.2971851420619208,0.0908461209895427,0.2971851420619208,0.45260663507109006,0.3587875227335509,0.2971851420619208,0.2971851420619208,0.45260663507109006,0.3587875227335509,2.2479453746346953
