Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth,Pole AP50,Pole Precision,Pole Recall,Pole F1,Trunk AP50,Trunk Precision,Trunk Recall,Trunk F1,Vine Row AP50,Vine Row Precision,Vine Row Recall,Vine Row F1
March 2x2 (v10),Test: August Dataset (v6),0.007930643810649722,0.0025725591308833544,0.007930643810649722,0.013016849176382515,21.76659643615239,102,1401,0.003989951233929363,0.003989951233929363,0.026570048309178744,0.006938036559014191,0.019801980198019802,0.019801980198019802,0.0124804992199688,0.015311004784688992,0.0,0.0,0.0,0.0
March 2x2 (v10),Test: July Dataset (v14),0.004672478117376954,0.0014408330043125686,0.004672478117376954,0.011063356678302189,22.196286001224674,115,1287,0.0014349261013057828,0.0014349261013057828,0.013550135501355014,0.0025950434669780717,0.012582508250825084,0.012582508250825084,0.019639934533551555,0.015338355317610824,0.0,0.0,0.0,0.0
March 2x2 (v10),Test: March Dataset (v10),0.3360684031387203,0.09695191242158449,0.3360684031387203,0.48704529068634256,19.465191391480396,1443,2118,0.6012914949982596,0.6012914949982596,0.7346221441124781,0.6613032973991565,0.18046629200494338,0.18046629200494338,0.25725806451612904,0.21212623103991837,0.2264474224129579,0.2264474224129579,0.4692556634304207,0.30548013254155276
March 4x4 (v11),Test: August Dataset (v6),0.010016791152799489,0.0021495575536558346,0.010016791152799489,0.02594954039707482,21.591995883492164,138,1401,0.02014938335938857,0.02014938335938857,0.07004830917874397,0.031296371239714016,0.0099009900990099,0.0099009900990099,0.0078003120124804995,0.008726003490401396,0.0,0.0,0.0,0.0
March 4x4 (v11),Test: July Dataset (v14),0.0035542015740035533,0.0005136502661255136,0.0035542015740035533,0.005983349522529595,22.19365760647228,112,1287,0.0007616146230007616,0.0007616146230007616,0.008130081300813009,0.001392757660167131,0.0099009900990099,0.0099009900990099,0.009819967266775777,0.009860312243221035,0.0,0.0,0.0,0.0
March 4x4 (v11),Test: March Dataset (v10),0.26343424906635754,0.06848323163987553,0.26343424906635754,0.4070876428390972,19.355763908011244,1146,2118,0.520783193398737,0.520783193398737,0.6731107205623902,0.5872293115262837,0.09946419666250268,0.09946419666250268,0.12096774193548387,0.10916711389662245,0.1700553571378329,0.1700553571378329,0.42718446601941745,0.24326913282049983
March 6x6 (v12),Test: August Dataset (v6),0.006443501493006444,0.0018279699118371217,0.006443501493006444,0.013402468465888393,21.82592202572814,81,1401,0.009429514380009428,0.009429514380009428,0.03864734299516908,0.015160128861095318,0.0099009900990099,0.0099009900990099,0.0015600624024961,0.0026954177897574125,0.0,0.0,0.0,0.0
March 6x6 (v12),Test: July Dataset (v14),0.0018335166850018336,0.0004767143381004768,0.0018335166850018336,0.0025400035778862973,22.246403051793514,54,1287,0.00055005500550055,0.00055005500550055,0.0027100271002710027,0.0009144947416552355,0.0049504950495049506,0.0049504950495049506,0.004909983633387889,0.004930156121610518,0.0,0.0,0.0,0.0
March 6x6 (v12),Test: March Dataset (v10),0.2785861304753306,0.07839656093436843,0.2785861304753306,0.43107626934602905,19.231168767794514,1468,2118,0.5749990357766659,0.5749990357766659,0.7065026362038664,0.6340035966758646,0.16372552488852507,0.16372552488852507,0.20161290322580644,0.18070466101975155,0.09703383076080083,0.09703383076080083,0.3851132686084142,0.15501084950537689
July Full Res (v13),Test: August Dataset (v6),0.19844503344876424,0.07338026279819557,0.19844503344876424,0.2541252609306852,20.55122002650263,482,1401,0.4083831977040034,0.4083831977040034,0.463768115942029,0.4343170805758458,0.012914334911752043,0.012914334911752043,0.0124804992199688,0.012693711323848311,0.17403756773053725,0.17403756773053725,0.2861271676300578,0.2164306496756691
July Full Res (v13),Test: July Dataset (v14),0.43793416564944954,0.1925012634609679,0.43793416564944954,0.5586853416207918,20.16822997226088,1044,1287,0.7366401119270702,0.7366401119270702,0.7804878048780488,0.757930320277578,0.20163019357872708,0.20163019357872708,0.29296235679214405,0.23886351166019917,0.37553219144255134,0.37553219144255134,0.6026058631921825,0.46271157595478074
July Full Res (v13),Test: March Dataset (v10),0.02931541820641257,0.00821909408285859,0.02931541820641257,0.08477940632802679,21.077696071052202,467,2118,0.05416138877059815,0.05416138877059815,0.16695957820738136,0.08179018704423086,0.0,0.0,0.0,0.0,0.03378486584863956,0.03378486584863956,0.08737864077669903,0.048728792008399725
July 2x2 (v14),Test: August Dataset (v6),0.21292903998997237,0.07371160728870155,0.21292903998997237,0.2883953156568082,19.86965535840513,603,1401,0.3948283662166997,0.3948283662166997,0.45652173913043476,0.42343973712149996,0.004455445544554456,0.004455445544554456,0.015600624024960999,0.006931341214525011,0.2395033082086631,0.2395033082086631,0.3930635838150289,0.2976445016237956
July 2x2 (v14),Test: July Dataset (v14),0.44800239846615836,0.20079191611840527,0.44800239846615836,0.5911349268291334,19.75997385466559,1162,1287,0.7619658375864743,0.7619658375864743,0.8075880758807588,0.7841139057198472,0.20075055503810924,0.20075055503810924,0.337152209492635,0.2516569820830614,0.38129080277389144,0.38129080277389144,0.6286644951140065,0.47468237558385307
July 2x2 (v14),Test: March Dataset (v10),0.033792135202891094,0.011002783749797587,0.033792135202891094,0.08847318017047275,20.514696181102195,747,2118,0.06839094521223398,0.06839094521223398,0.18453427065026362,0.0997960851849808,0.009900990099009901,0.009900990099009901,0.0064516129032258064,0.0078125,0.02308447029742941,0.02308447029742941,0.0744336569579288,0.03523983881837612
July 4x4 (v15),Test: August Dataset (v6),0.14371208034145963,0.0448034444728469,0.14371208034145963,0.20070990659011465,20.367775489264993,402,1401,0.24537535172652358,0.24537535172652358,0.2971014492753623,0.2687723142437145,0.0033003300330033,0.0033003300330033,0.0015600624024961,0.00211864406779661,0.18246055926485202,0.18246055926485202,0.30346820809248554,0.22789751373965983
July 4x4 (v15),Test: July Dataset (v14),0.36046397822962056,0.1476656813781307,0.36046397822962056,0.45342384874222014,19.27119524617833,736,1287,0.6349509145464487,0.6349509145464487,0.6612466124661247,0.6478320357450185,0.0575976095778076,0.0575976095778076,0.06710310965630115,0.06198807408936382,0.3888434105646054,0.3888434105646054,0.6319218241042345,0.4814400587900392
July 4x4 (v15),Test: March Dataset (v10),0.012959573089722795,0.0036763970579672413,0.012959573089722795,0.0390643514331811,20.62405711841435,485,2118,0.03855409664297134,0.03855409664297134,0.11072056239015818,0.057192979577423225,0.0,0.0,0.0,0.0,0.00032462262619704593,0.00032462262619704593,0.006472491909385114,0.0006182380216383308
July 6x6 (v16),Test: August Dataset (v6),0.0752934622152663,0.016757090530972078,0.0752934622152663,0.12864296817551404,20.553110961157827,458,1401,0.14736220687057877,0.14736220687057877,0.19806763285024154,0.16899341128162468,0.0,0.0,0.0,0.0,0.07851817977522013,0.07851817977522013,0.18786127167630057,0.1107482204194398
July 6x6 (v16),Test: July Dataset (v14),0.3185448408348253,0.12399761538993859,0.3185448408348253,0.45557250204395433,20.447824822018024,1000,1287,0.676381498045529,0.676381498045529,0.7181571815718157,0.6966436103973636,0.05817457895026811,0.05817457895026811,0.07201309328968904,0.06435834221403722,0.22107844550867875,0.22107844550867875,0.5765472312703583,0.31960396803247304
