Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth
July 4x4 (v15),Test: August Dataset (v6),0.14371208034145963,0.0448034444728469,0.14371208034145963,0.20070990659011465,17.468365610524824,402,1401
July 4x4 (v15),Test: July Dataset (v14),0.36046397822962056,0.1476656813781307,0.36046397822962056,0.45342384874222014,16.76286212338499,736,1287
July 4x4 (v15),Test: March Dataset (v10),0.012959573089722795,0.0036763970579672413,0.012959573089722795,0.0390643514331811,17.682840131199356,485,2118
July 6x6 (v16),Test: August Dataset (v6),0.0752934622152663,0.016757090530972078,0.0752934622152663,0.12864296817551404,17.96679836116404,458,1401
July 6x6 (v16),Test: July Dataset (v14),0.3185448408348253,0.12399761538993859,0.3185448408348253,0.45557250204395433,17.53217049013747,1000,1287
July 6x6 (v16),Test: March Dataset (v10),0.01178437003854568,0.0046635185261306635,0.01178437003854568,0.029784079641605194,18.067579282619924,627,2118
Aug+Mar Full Res (v17),Test: August Dataset (v6),0.5486890855388725,0.18494539363467682,0.5486890855388725,0.6518049568985077,17.29669951353613,1239,1401
Aug+Mar Full Res (v17),Test: July Dataset (v14),0.21985280644599478,0.07232117109064565,0.21985280644599478,0.3808294825690348,17.471403323080363,1031,1287
Aug+Mar Full Res (v17),Test: March Dataset (v10),0.3112063860623986,0.09283484770814873,0.3112063860623986,0.4585954461994674,16.999473798810353,1422,2118
Aug+Mar 2x2 (v18),Test: August Dataset (v6),0.5749404574778137,0.1990610387126164,0.5749404574778137,0.679900688529845,17.135773492442617,1260,1401
Aug+Mar 2x2 (v18),Test: July Dataset (v14),0.2687125632342602,0.09235328556106678,0.2687125632342602,0.41482702106378344,17.4174371656915,1003,1287
Aug+Mar 2x2 (v18),Test: March Dataset (v10),0.3231668953542642,0.09535226331256101,0.3231668953542642,0.4759407982935724,16.877717988415878,1463,2118
Aug+Mar 4x4 (v19),Test: August Dataset (v6),0.4807088591923104,0.16283468936402265,0.4807088591923104,0.5846129648151496,17.193729806120825,1084,1401
Aug+Mar 4x4 (v19),Test: July Dataset (v14),0.2557566428658631,0.1044869977647372,0.2557566428658631,0.36605705588732657,17.34709608559917,874,1287
Aug+Mar 4x4 (v19),Test: March Dataset (v10),0.2744154693410408,0.0748681702444897,0.2744154693410408,0.4125632799316363,16.48924604044474,1172,2118
Aug+Mar 6x6 (v20),Test: August Dataset (v6),0.39361022745565083,0.1290009913792308,0.39361022745565083,0.5556272760530371,16.654591809348865,1234,1401
Aug+Mar 6x6 (v20),Test: July Dataset (v14),0.28324348199319577,0.1420995250627131,0.28324348199319577,0.43332431854699854,16.458746684634693,1219,1287
Aug+Mar 6x6 (v20),Test: March Dataset (v10),0.24434806893626085,0.06526552462243698,0.24434806893626085,0.39615158146240254,16.52641525371346,1411,2118
Aug+Jul Full Res (v21),Test: August Dataset (v6),0.5414755790179416,0.18393375144633417,0.5414755790179416,0.6457617970743236,17.051142605964824,1219,1401
Aug+Jul Full Res (v21),Test: July Dataset (v14),0.45241047456678996,0.20313786219427135,0.45241047456678996,0.5671908664509946,17.35124152623784,1067,1287
Aug+Jul Full Res (v21),Test: March Dataset (v10),0.042873250414326394,0.012929617540095183,0.042873250414326394,0.10826284528258916,17.950013465508277,645,2118
Aug+Jul 2x2 (v22),Test: August Dataset (v6),0.5428640470862359,0.19340194889078957,0.5428640470862359,0.6554886880627832,17.025261905055295,1216,1401
Aug+Jul 2x2 (v22),Test: July Dataset (v14),0.4365685944268383,0.20229928450235887,0.4365685944268383,0.551183877807598,17.516913440003794,966,1287
Aug+Jul 2x2 (v22),Test: March Dataset (v10),0.027685728296734095,0.007609743791127056,0.027685728296734095,0.0867737749285946,17.845023996620643,693,2118
Aug+Jul 4x4 (v23),Test: August Dataset (v6),0.3955158708214102,0.12336358999687318,0.3955158708214102,0.4907339266400233,16.79012280726084,914,1401
Aug+Jul 4x4 (v23),Test: July Dataset (v14),0.3520431567222842,0.14476215929992403,0.3520431567222842,0.44238006848704475,16.72824648670402,711,1287
Aug+Jul 4x4 (v23),Test: March Dataset (v10),0.014306988140128093,0.005410751085074981,0.014306988140128093,0.04375093608461636,17.752459403651322,576,2118
Aug+Jul 6x6 (v24),Test: August Dataset (v6),0.3543811372107717,0.11162104412714212,0.3543811372107717,0.5210184040546956,16.931508605040584,1228,1401
Aug+Jul 6x6 (v24),Test: July Dataset (v14),0.3238312410493211,0.12900590584379057,0.3238312410493211,0.45994759422831955,16.636433136210055,960,1287
Aug+Jul 6x6 (v24),Test: March Dataset (v10),0.016228983930092093,0.007172358561932204,0.016228983930092093,0.041656710304034165,17.944774829507047,707,2118
Mar+Jul Full Res (v25),Test: August Dataset (v6),0.2287570942657897,0.07860293698733603,0.2287570942657897,0.3212856837972941,16.774456002899807,664,1401
Mar+Jul Full Res (v25),Test: July Dataset (v14),0.4237887232088992,0.1923431438756632,0.4237887232088992,0.5214087498443698,17.866565880745807,869,1287
Mar+Jul Full Res (v25),Test: March Dataset (v10),0.31891988407217836,0.09647424085941703,0.31891988407217836,0.45090944461904775,17.19151367404826,1228,2118
Mar+Jul 2x2 (v26),Test: August Dataset (v6),0.26421849366420846,0.08842613316866156,0.26421849366420846,0.3650082430651949,17.190196975759278,774,1401
Mar+Jul 2x2 (v26),Test: July Dataset (v14),0.4414506595675969,0.20147469274849453,0.4414506595675969,0.5648298005305995,16.979811441821877,1057,1287
Mar+Jul 2x2 (v26),Test: March Dataset (v10),0.332265431009439,0.09778543245861351,0.332265431009439,0.48389846240858475,16.816687167165217,1499,2118
Mar+Jul 4x4 (v27),Test: August Dataset (v6),0.24381695353753297,0.07745527058252244,0.24381695353753297,0.3211366521176722,16.89659041125552,606,1401
Mar+Jul 4x4 (v27),Test: July Dataset (v14),0.39927949803737267,0.1715212329640331,0.39927949803737267,0.49420552563782066,16.979289260079245,799,1287
Mar+Jul 4x4 (v27),Test: March Dataset (v10),0.2802660555302249,0.07725089776619118,0.2802660555302249,0.42861734285841663,16.670013524454735,1158,2118
Mar+Jul 6x6 (v28),Test: August Dataset (v6),0.04626881948875302,0.012512364754343861,0.04626881948875302,0.08895776902813847,18.320708183388177,313,1401
Mar+Jul 6x6 (v28),Test: July Dataset (v14),0.1364581466151605,0.055173923184409224,0.1364581466151605,0.2005115596274323,18.331929818699212,436,1287
Mar+Jul 6x6 (v28),Test: March Dataset (v10),0.15035178705943095,0.04041282235973697,0.15035178705943095,0.2198850731190257,17.60351954937345,805,2118
