Roboflow Version Name,Description,Tile Size,Image Size,Backbone,ResNet Trained Image Size,mIoU,IoU_background,IoU_pole,IoU_trunk,IoU_vine_row,Precision_background,Precision_pole,Precision_trunk,Precision_vine_row,Recall_background,Recall_pole,Recall_trunk,Recall_vine_row,F1_background,F1_pole,F1_trunk,F1_vine_row,pixel_acc,FPS
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet101,1014x760,0.383097716,0.969749986,0.269543461,0.031479305,0.261618114,0.979807451,0.555479655,0.299203777,0.456970318,0.989485452,0.350043802,0.036069659,0.390034554,0.984602557,0.420630004,0.060106456,0.393186364,0.968970264,4.420347367
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet101,1280x960,0.38745215,0.970273526,0.282962225,0.098772563,0.197800285,0.976835172,0.551381761,0.514353647,0.467092763,0.993095729,0.387761009,0.114279628,0.260787534,0.984873326,0.435754307,0.172737361,0.314826512,0.969553544,5.255388586
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet101,2028x1520,0.374365823,0.971538274,0.241876228,0.113853555,0.170195233,0.974129243,0.714071858,0.674046113,0.559439713,0.997265382,0.278037649,0.122529837,0.196352401,0.985520071,0.382267813,0.198273679,0.275623041,0.971006347,2.551131644
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet101,640x480,0.36798135,0.970279413,0.225993777,7.18E-05,0.275580393,0.979266505,0.49588124,0.095767196,0.534199541,0.990616599,0.294054641,7.19E-05,0.398950208,0.984883612,0.361193315,0.000143608,0.405315785,0.969931505,6.735573193
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet101,1014x760,0.315392879,0.957327599,0.233880618,0.029316032,0.041047268,0.959271673,0.566598901,0.371908622,0.561231152,0.997874738,0.291055145,0.030698953,0.043669992,0.978162596,0.371061397,0.056038817,0.075871564,0.956891107,3.816883587
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet101,1280x960,0.408510125,0.958748769,0.336842979,0.151711688,0.186737065,0.968205861,0.526661912,0.459260487,0.532846313,0.989909617,0.495273912,0.19974627,0.238814345,0.978912049,0.499757268,0.253029306,0.311333907,0.957554677,4.412205001
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet101,2028x1520,0.45344334,0.959316916,0.413038934,0.310973708,0.130443801,0.96841479,0.591217074,0.531558735,0.490159434,0.990295878,0.586199325,0.43414123,0.160160777,0.979210681,0.580358033,0.471992884,0.222470014,0.958540923,2.434411282
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet101,640x480,0.384557479,0.958916536,0.278277729,0.005376128,0.295659524,0.970968193,0.485955098,0.463755591,0.531928022,0.987225177,0.400427503,0.005411793,0.414974049,0.978998564,0.431138964,0.010351326,0.450373236,0.958333639,5.618253637
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet101,1014x760,0.367195069,0.96210894,0.079685486,0,0.426985851,0.979996682,0.390961275,0,0.577864209,0.981359108,0.090608771,0,0.616098582,0.980663796,0.141246605,0,0.583673526,0.962235966,3.860680407
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet101,1280x960,0.356410506,0.962270364,0.087385647,0,0.375986014,0.972459964,0.487799323,0,0.628436346,0.989222346,0.094813762,0,0.476211323,0.980746301,0.1545995,0,0.536256278,0.962377299,4.118473859
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet101,2028x1520,0.403337669,0.961345484,0.185792,0.000427396,0.465785795,0.985228417,0.367320255,0.039498381,0.556420963,0.975373804,0.257038068,0.000455958,0.721592765,0.980265205,0.300756271,0.000854021,0.626725309,0.961377078,2.210839282
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet101,640x480,0.379847579,0.960960433,0.101210362,0.001457611,0.455761909,0.982404377,0.341880861,0.189018088,0.56647551,0.97781325,0.120163261,0.001485712,0.70433537,0.980077027,0.176763534,0.002905128,0.617072374,0.96105542,5.654025203
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet101,1014x760,0.388675577,0.981238179,0.308926787,0.178653517,0.017922997,0.98445188,0.49327147,0.430410376,0.209647796,0.996652587,0.450146175,0.230277484,0.019427277,0.990473667,0.439140739,0.278652938,0.033065804,0.980643263,10.9498367
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet101,1280x960,0.374478936,0.981590807,0.285368567,0.147912201,0.001672631,0.983473253,0.523071384,0.452784468,0.173062237,0.998036283,0.420803128,0.180584892,0.001681789,0.990654039,0.411855284,0.230899641,0.003307677,0.981130229,7.211150418
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet101,2028x1520,0.363832414,0.981359709,0.298676222,0.119320216,0.002423118,0.982737745,0.583524885,0.539478004,0.238736873,0.998557591,0.40911654,0.130261582,0.00243846,0.990535945,0.438240834,0.194412105,0.004793894,0.98102763,2.881474777
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet101,640x480,0.374059603,0.980973036,0.285275136,0.130169985,0.001296441,0.984057997,0.45071543,0.382917972,0.227879308,0.996779853,0.467199146,0.172283205,0.001298069,0.990336872,0.413938425,0.205556975,0.002572661,0.980351233,25.5109076
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet101,1014x760,0.635586275,0.989949144,0.062353375,0.095168398,1.42E-05,0.990793717,0.234019187,0.187441621,0.028638396,0.999113273,0.075412643,0.11740887,1.42E-05,0.994893337,0.094605711,0.135395266,2.84E-05,0.989827153,11.90270712
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet101,1280x960,0.610271644,0.990056921,0.127320524,0.066615119,0.021642914,0.992133863,0.212101221,0.196640829,0.112434247,0.99782274,0.238403832,0.075905362,0.025327691,0.994948645,0.18732004,0.098757125,0.036686723,0.98934393,7.476941863
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet101,2028x1520,0.609413113,0.990280282,0.118054035,0.048181448,0.000335213,0.990825098,0.262145632,0.193269101,0.117653064,0.999428468,0.178139864,0.051068114,0.000336345,0.995064843,0.175556987,0.072260392,0.000668011,0.989986857,2.919211408
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet101,640x480,0.623542817,0.990315328,0.089109956,0.076800712,0.032087911,0.991720671,0.257536063,0.188019245,0.145632473,0.998531329,0.119147591,0.091155097,0.042728504,0.995084624,0.133481696,0.112499571,0.053950383,0.989784704,29.5806441
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet101,1014x760,0.743132368,0.990577304,0,0.038771149,0,0.990905382,0,0.146160194,0,0.999652286,0,0.042198786,0,0.995167793,0,0.058303395,0,0.990569795,12.02939702
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet101,1280x960,0.754261471,0.990564645,0.07229816,0.072212435,0.000575058,0.993585932,0.116105852,0.135621791,0.028044192,0.996838719,0.136543915,0.098951759,0.000597151,0.995166855,0.104579834,0.103463375,0.00110146,0.990205637,7.630189346
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet101,2028x1520,0.721133746,0.990778876,0.052631791,0.071386607,8.21E-06,0.992580383,0.139449298,0.126089099,0.012348714,0.998108589,0.077352303,0.100249837,8.23E-06,0.995277202,0.078776161,0.100531061,1.64E-05,0.990561903,2.92474973
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet101,640x480,0.759776439,0.991142889,0.054446095,0.065884477,0.000120325,0.992851458,0.122222862,0.145546033,0.022771726,0.998195874,0.083417084,0.082157489,0.000123335,0.995465635,0.079615235,0.092293235,0.000236319,0.990875515,29.92670211
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet101,1014x760,0.441674959,0.980184312,0.283819676,0.260259131,0.010625561,0.982750213,0.62233463,0.494902483,0.306841244,0.997297614,0.320351953,0.335268807,0.010844158,0.989934607,0.416034493,0.386899992,0.020452931,0.979995148,11.00845719
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet101,1280x960,0.470430703,0.98074741,0.298392109,0.254752119,0,0.983148555,0.60486453,0.543850884,0,0.997476995,0.342710681,0.330343839,0,0.990225629,0.426290453,0.38403233,0,0.980550006,7.270439719
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet101,2028x1520,0.436208039,0.980760377,0.360946995,0.249450637,0.008746626,0.984593573,0.485464615,0.543405433,0.218728607,0.995999929,0.523980832,0.359262047,0.009437818,0.990233392,0.487390866,0.384093133,0.017059281,0.980287603,2.850066843
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet101,640x480,0.418813527,0.980060432,0.254790681,0.152807626,0.039482863,0.982619232,0.518400177,0.508844546,0.26025174,0.997302696,0.3049698,0.178518344,0.043076627,0.989870151,0.365251253,0.244797784,0.070803888,0.979648316,24.14379423
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet101,1014x760,0.67523223,0.991351444,0.185765361,0.14129078,0.012257854,0.993374913,0.303528806,0.26443843,0.096737332,0.997896565,0.247690411,0.180113266,0.015736773,0.995616238,0.253556576,0.201819415,0.021967812,0.991041118,11.8911274
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet101,1280x960,0.653351349,0.990944164,0.212304278,0.153500212,0.00640124,0.994188132,0.278928474,0.229839263,0.075298211,0.996656954,0.342090223,0.22440334,0.00782625,0.995410294,0.283738656,0.216695113,0.012287175,0.990638751,7.582179465
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet101,2028x1520,0.666952262,0.990692362,0.184508667,0.033698852,0,0.991679019,0.284198747,0.267187112,0,0.998951381,0.256407458,0.034287352,0,0.995274498,0.253478863,0.053041472,0,0.990541378,2.913895776
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet101,640x480,0.617365474,0.990103764,0.050017835,0.09864174,0.005160849,0.990995452,0.336600586,0.256982442,0.077881,0.999049918,0.051723111,0.127569473,0.005622564,0.994976324,0.080931342,0.145186908,0.009498402,0.989961146,29.36871162
