Roboflow Version Name,Description,Tile Size,Image Size,YOLO Trained Image Size (long side),mAP50 (Box),mAP50-95 (Box),Precision (Box),Recall (Box),F1 (Box),mAP50(Mask),mAP50-95(Mask),Precision(Mask),Recall(Mask),F1 (Mask),AP Trunk,Precision Trunk,Recall Trunk,F1 Trunk,AP Vine Row,Precision Vine Row,Recall Vine Row,F1 Vine Row,AP Pole,Precision Pole,Recall Pole,F1 Pole,Frames Per Second,SAHI mAP50 (Box),SAHI mAP50-95 (Box),SAHI Precision (Box),SAHI Recall (Box),SAHI F1 (Box),SAHI mAP50(Mask),SAHI mAP50-95(Mask),SAHI Precision(Mask),SAHI Recall(Mask),SAHI F1 (Mask),SAHI AP Trunk,SAHI Precision Trunk,SAHI Recall Trunk,SAHI F1 Trunk,SAHI AP Vine Row,SAHI Precision Vine Row,SAHI Recall Vine Row,SAHI F1 Vine Row,SAHI AP Pole,SAHI Precision Pole,SAHI Recall Pole,SAHI F1 Pole,SAHI Frames Per Second
vineyard_segmentation_paper/10,"March 2025 2x2 Tile 39, 65, 100 feet",2x2,2028x1520,1024x768,0.43299160169680934,0.2212324351479832,0.43299160169680934,0.4813367768404242,0.45588606205823423,0.2432895955977802,0.07144669918449341,0.2432895955977802,0.33912183444391425,0.2833214106197428,0.08136116667440205,0.08136116667440205,0.10725806451612903,0.09253182943424731,0.08995114448505336,0.08995114448505336,0.20711974110032363,0.125429038397421,0.5585564756338852,0.5585564756338852,0.70298769771529,0.6225042913993151,13.450458785601464,0.4274890602545049,0.2073187387265314,0.4274890602545049,0.4796077456097976,0.4520511220765672,0.2459841180343101,0.07020403861493342,0.2459841180343101,0.3418581951597522,0.28610287058873834,0.086677800799335,0.086677800799335,0.11370967741935484,0.09837046561916576,0.09692691594709053,0.09692691594709053,0.20711974110032363,0.13205524396529428,0.5543476373565048,0.5543476373565048,0.7047451669595782,0.6205639757502465,1.8559622707777963
vineyard_segmentation_paper/11,"March 2025 4x4 Tile 39, 65, 100 feet",4x4,1014x760,1024x768,0.42019456349710016,0.20074801451528018,0.42019456349710016,0.47380215449136576,0.4453910970466306,0.24059152925712046,0.06956286132243764,0.24059152925712046,0.3473307551910559,0.28427171331966294,0.05549220176254914,0.05549220176254914,0.06576980568011959,0.06019546276125089,0.12886315973401816,0.12886315973401816,0.28342245989304815,0.17717190211214692,0.5374192262747942,0.5374192262747942,0.6928,0.6052970592739076,41.99867418123405,0.43974868110962195,0.20600840605267048,0.43974868110962195,0.4702921827081152,0.4545078694916253,0.2486377309131185,0.07035439513826391,0.2486377309131185,0.34186998126876783,0.28789387388659465,0.057439361353808734,0.057439361353808734,0.06502242152466367,0.06099611288137432,0.13848495120389473,0.13848495120389473,0.28698752228163993,0.186820325619259,0.549988880181652,0.549988880181652,0.6736,0.6055506317372892,29.117499610084995
vineyard_segmentation_paper/12,"March 2025 6x6 Tile 39, 65, 100 feet",6x6,676x506,640x480,0.45804034975082164,0.23333775902545376,0.45804034975082164,0.5001500173995527,0.47816988513226916,0.27811797736794946,0.08600323149761935,0.27811797736794946,0.387550694115898,0.3238392305132654,0.10454815628735291,0.10454815628735291,0.13469675599435826,0.11772285866222044,0.20921548106252447,0.20921548106252447,0.3824884792626728,0.27048158050466176,0.5205902947539709,0.5205902947539709,0.645466847090663,0.5763418688886458,57.20355537142526,0.4636651930833684,0.21721273507603314,0.4636651930833684,0.5098814953208195,0.48567635182466384,0.2918386496404922,0.08756723061428529,0.2918386496404922,0.40349780556776943,0.3387029511476722,0.12479659041829332,0.12479659041829332,0.16361071932299012,0.1415918337555981,0.2387172529536641,0.2387172529536641,0.41359447004608296,0.30271458336573764,0.5120021055495192,0.5120021055495192,0.6332882273342354,0.5662230728839331,7.7239758614602785
vineyard_segmentation_paper/13,"July 2025 Full Resolution 39, 65, 100 feet",n/a,4056x3040,1536x1152,0.4456677727226541,0.2040590343039673,0.4456677727226541,0.5469499526573945,0.4911416771209748,0.3679687793077698,0.16304594127376626,0.3679687793077698,0.48161293897092566,0.41719006291946703,0.18981350279137993,0.18981350279137993,0.2895174708818636,0.22929594908611034,0.2489415775305646,0.2489415775305646,0.4378698224852071,0.31742048649743615,0.665151257601365,0.665151257601365,0.7174515235457064,0.6903121990808136,7.323466083478331,0.44720562737518255,0.21206119666504145,0.44720562737518255,0.5771463830377644,0.5039344047553961,0.37928752077217,0.16197678534423376,0.37928752077217,0.5100852390535435,0.43506834129035266,0.1799496293958036,0.1799496293958036,0.3161397670549085,0.22935073527401456,0.2865006481660218,0.2865006481660218,0.4911242603550296,0.361890205367476,0.6714122847546847,0.6714122847546847,0.7229916897506925,0.6962480187226269,0.46774996413183967
vineyard_segmentation_paper/14,"July 2025 2x2 Tile 39, 65, 100 feet",2x2,2028x1520,1024x768,0.4632261706630446,0.24359403066265423,0.4632261706630446,0.5332638945806195,0.4957837523027177,0.3528533224585417,0.16523722903707888,0.3528533224585417,0.4514675500511951,0.3961151089383266,0.16431155444885276,0.16431155444885276,0.220949263502455,0.18846721622755833,0.22111138111279519,0.22111138111279519,0.40716612377850164,0.28659012385485433,0.673137031813977,0.673137031813977,0.7262872628726287,0.6987028226258766,24.640346358116457,0.4787441535398696,0.2323387069904105,0.4787441535398696,0.5718969181744858,0.5211909440333434,0.36953258915074183,0.16550833203594983,0.36953258915074183,0.49173190371218056,0.42196320654706526,0.17097174118584255,0.17097174118584255,0.2765957446808511,0.2113203374508086,0.2613307404656612,0.2613307404656612,0.4723127035830619,0.33648451317859146,0.6762952858007217,0.6762952858007217,0.7262872628726287,0.7004003471773711,1.8541790534856997
vineyard_segmentation_paper/15,"July 2025 4x4 Tile 39, 65, 100 feet",4x4,1014x760,1024x768,0.3181693972132561,0.1595583224905209,0.3181693972132561,0.36439684389202326,0.33971772169627534,0.25015531453559203,0.10865163606937499,0.25015531453559203,0.3216010996171183,0.28141433043276737,0.03453003594966321,0.03453003594966321,0.04451038575667656,0.03889010678666816,0.24601788219071796,0.24601788219071796,0.36209813874788493,0.29297901772908375,0.46991802546639494,0.46991802546639494,0.5581947743467933,0.5102665509744979,44.17130512395261,0.32989825588911326,0.15369643723964171,0.32989825588911326,0.3558066556232838,0.34236299945691007,0.25902197245102365,0.1076129737736685,0.25902197245102365,0.31181342381279314,0.28297659395798813,0.035744534516406586,0.035744534516406586,0.04599406528189911,0.04022668501969564,0.24978157526155417,0.24978157526155417,0.350253807106599,0.29160596275225986,0.4915398075751103,0.4915398075751103,0.5391923990498813,0.5142645710911942,31.005753094517186
vineyard_segmentation_paper/16,"July 2025 6x6 Tile 39, 65, 100 feet",6x6,676x506,640x480,0.44035319857173444,0.23421234582226558,0.44035319857173444,0.4792064141069566,0.4589589936717312,0.34194212363591625,0.14565638215865595,0.34194212363591625,0.4204413161013522,0.3771503655470811,0.10918745527886889,0.10918745527886889,0.14405594405594405,0.12422121951118018,0.39294863840281086,0.39294863840281086,0.5328798185941043,0.4523395183338761,0.523690277226069,0.523690277226069,0.5843881856540084,0.5523767877544397,58.1853429184289,0.45543114661674744,0.2258400141846458,0.45543114661674744,0.4960255737832591,0.47486236835736617,0.3622431358763143,0.1479005632517827,0.3622431358763143,0.4373691207325927,0.3962769717951717,0.12346679180501097,0.12346679180501097,0.17342657342657342,0.14424318723332166,0.40616104462357666,0.40616104462357666,0.5374149659863946,0.46265912131503545,0.5571015712003554,0.5571015712003554,0.6012658227848101,0.5783417874532851,7.896328174870594
vineyard_segmentation_paper/17,"August 2024 March 2025 Full Resolution 39, 65, 100 feet",n/a,4056x3040,1536x1152,0.48474146484993247,0.23123272724482297,0.48474146484993247,0.5382794436792565,0.5101095468377609,0.2412894727097817,0.06287751032120648,0.2412894727097817,0.3686842993638075,0.29168349284085626,0.0953847373645299,0.0953847373645299,0.10935799782372144,0.10189454479579566,0.22655826307254992,0.22655826307254992,0.4502923976608187,0.3014474814230748,0.4019254176922655,0.4019254176922655,0.5464025026068822,0.4631584695283334,7.660253330595988,0.48411989755363033,0.2159725810995942,0.48411989755363033,0.5353472347009979,0.508446501548093,0.22993543648602957,0.0594438105836727,0.22993543648602957,0.36518553102435347,0.2821916855853418,0.08998612689944431,0.08998612689944431,0.10990206746463548,0.09895193081158939,0.23175952826281332,0.23175952826281332,0.4590643274853801,0.30801638100661544,0.36806065429583085,0.36806065429583085,0.5265901981230449,0.43327993785042274,0.4681733560244404
vineyard_segmentation_paper/18,"August 2024 March 2025 2x2 Tile 39, 65, 100 feet",2x2,2028x1520,1024x768,0.321845290243384,0.1615879084201988,0.321845290243384,0.34699181366311244,0.333945830242382,0.14591183915555325,0.0399046014416683,0.14591183915555325,0.22130951519532893,0.17587037356176957,0.03639681615220346,0.03639681615220346,0.03615098351940457,0.036273483326388,0.09142123173952395,0.09142123173952395,0.21068702290076335,0.12751235260390342,0.30991746957493244,0.30991746957493244,0.4170905391658189,0.3556044580741609,27.325298418343515,0.31357646766828534,0.14455481180096832,0.31357646766828534,0.3433373172954901,0.3277827490929026,0.12075822700955909,0.03194832695558938,0.12075822700955909,0.20748363196866007,0.15266398751234125,0.04573084486148963,0.04573084486148963,0.04146730462519936,0.04349484216814953,0.08907990221978408,0.08907990221978408,0.21374045801526717,0.12575098375573493,0.2274639339474036,0.2274639339474036,0.3672431332655137,0.2809267702138716,1.9542293167781013
vineyard_segmentation_paper/19,"August 2024 March 2025 4x4 Tile 39, 65, 100 feet",4x4,1014x760,1024x768,0.014872605554026638,0.006727996733071871,0.014872605554026638,0.015964641433800626,0.015399287423427435,0.007599825916657601,0.003389968506026331,0.007599825916657601,0.007982320716900313,0.007786378768728125,0.0049504950495049506,0.0049504950495049506,0.0004948045522018803,0.0008996851102114261,0.0,0.0,0.0,0.0,0.017848982700467853,0.017848982700467853,0.02345215759849906,0.020270489009947556,47.438363569402185,0.017664458753567664,0.008501779394792785,0.017664458753567664,0.014401164260567355,0.01586675998604526,0.009059278020825338,0.004468490580905281,0.009059278020825338,0.007982320716900313,0.008486769784774865,0.0049504950495049506,0.0049504950495049506,0.0004948045522018803,0.0008996851102114261,0.0,0.0,0.0,0.0,0.022227339012971064,0.022227339012971064,0.02345215759849906,0.022823327584418726,33.04371192882578
