Roboflow Version Name,Description,Tile Size,Image Size,YOLO Trained Image Size (long side),mAP50 (Box),mAP50-95 (Box),Precision (Box),Recall (Box),F1 (Box),mAP50(Mask),mAP50-95(Mask),Precision(Mask),Recall(Mask),F1 (Mask),AP Trunk,Precision Trunk,Recall Trunk,F1 Trunk,AP Vine Row,Precision Vine Row,Recall Vine Row,F1 Vine Row,AP Pole,Precision Pole,Recall Pole,F1 Pole,Frames Per Second,SAHI mAP50 (Box),SAHI mAP50-95 (Box),SAHI Precision (Box),SAHI Recall (Box),SAHI F1 (Box),SAHI mAP50(Mask),SAHI mAP50-95(Mask),SAHI Precision(Mask),SAHI Recall(Mask),SAHI F1 (Mask),SAHI AP Trunk,SAHI Precision Trunk,SAHI Recall Trunk,SAHI F1 Trunk,SAHI AP Vine Row,SAHI Precision Vine Row,SAHI Recall Vine Row,SAHI F1 Vine Row,SAHI AP Pole,SAHI Precision Pole,SAHI Recall Pole,SAHI F1 Pole,SAHI Frames Per Second
vineyard_segmentation_paper/72,Altitudes Full Resolution,n/a,4056x3040,1536x1152,0.24796839359962336,0.1136524593131399,0.24796839359962336,0.3981222269811415,0.30559715908606827,0.15397925412988825,0.04483076963087237,0.15397925412988825,0.282780505535175,0.1993880176056978,0.08575015411884024,0.08575015411884024,0.1557377049180328,0.11060210026373754,0.035635199120200196,0.035635199120200196,0.18421052631578946,0.05971804793822405,0.34055240915062435,0.34055240915062435,0.5083932853717026,0.4078813503536316,5.850807519339647,0.2648075380048078,0.11271943544052371,0.2648075380048078,0.42348802580023986,0.32585658657082756,0.13959736044773866,0.039507239601955374,0.13959736044773866,0.2657415051565305,0.1830409853541075,0.0827095380012458,0.0827095380012458,0.1557377049180328,0.10804061699724021,0.0302077224488312,0.0302077224488312,0.16666666666666666,0.05114550887759133,0.305874820893139,0.305874820893139,0.4748201438848921,0.37206728112698806,0.43213884757741255
vineyard_segmentation_paper/73,Altitudes Full Resolution,n/a,4056x3040,1536x1152,0.2481241791061391,0.09645776529309327,0.2481241791061391,0.3674252907244914,0.2962137183512926,0.10070487352987903,0.02581801292437389,0.10070487352987903,0.22114918928158625,0.13839067895118135,0.09086468962000668,0.09086468962000668,0.1255122950819672,0.10541449916058104,0.02542585335715653,0.02542585335715653,0.15163934426229508,0.043549605255289704,0.18582407761247388,0.18582407761247388,0.38629592850049654,0.25093715944932254,6.441665988349324,0.2673380899703951,0.09024415189028337,0.2673380899703951,0.38335103727459696,0.31500244833374613,0.09437943346059077,0.024091930010441315,0.09437943346059077,0.2166541857272318,0.13148224529036573,0.08561737458101336,0.08561737458101336,0.12295081967213115,0.10094277721113053,0.023669270159133123,0.023669270159133123,0.15163934426229508,0.04094713335044583,0.17385165564162577,0.17385165564162577,0.3753723932472691,0.23764113090174876,0.3958513648356818
vineyard_segmentation_paper/74,Altitudes Full Resolution,n/a,4056x3040,1536x1152,0.29948494869151204,0.1264830644328468,0.29948494869151204,0.3891910230498035,0.3384954851105194,0.10868461165072481,0.02634875672576206,0.10868461165072481,0.2316554029915879,0.14795426002078282,0.01551155115511551,0.01551155115511551,0.02054794520547945,0.01767803410230692,0.055575643870271446,0.055575643870271446,0.2482758620689655,0.09082127698711324,0.2549666399267875,0.2549666399267875,0.4261424017003188,0.319044645281178,6.287244855789299,0.24040162983565186,0.08895374445066231,0.24040162983565186,0.35568584260706176,0.28689566624107304,0.09740811798601665,0.024808249702782708,0.09740811798601665,0.22466534009137107,0.135895879689226,0.010256410256410255,0.010256410256410255,0.017123287671232876,0.012828736369467606,0.0624937897015508,0.0624937897015508,0.25517241379310346,0.10039904144534947,0.21947415400008893,0.21947415400008893,0.40170031880977686,0.28385853408798206,0.39725910976225
vineyard_segmentation_paper/75,Altitudes 2x2 Tile,2x2,2028x1520,1024x768,0.19308912946990234,0.07790675325427089,0.19308912946990234,0.35810532060991945,0.25089601176171544,0.08328156976055104,0.023122457886713053,0.08328156976055104,0.20035874370099316,0.11765739846379725,0.05629476974846806,0.05629476974846806,0.07711442786069651,0.06508005502619926,0.03590012386582765,0.03590012386582765,0.21518987341772153,0.06153445532634224,0.15764981566735742,0.15764981566735742,0.3087719298245614,0.20872885233409302,20.84791282008566,0.19085185893255247,0.07184084695094073,0.19085185893255247,0.3564920235597495,0.2486084802161368,0.08193959139500732,0.02278362908363905,0.08193959139500732,0.19496974377501786,0.11538607847586622,0.05471957452155472,0.05471957452155472,0.07711442786069651,0.06401487637120439,0.02550691582290518,0.02550691582290518,0.20253164556962025,0.04530775499961647,0.16559228384056207,0.16559228384056207,0.30526315789473685,0.2147122832514225,1.7109456488639565
vineyard_segmentation_paper/76,Altitudes 4x4 Tile,4x4,1014x760,1024x768,0.09024335314333183,0.040557413310507634,0.09024335314333183,0.12241055788129807,0.10389406101329397,0.02963592637189919,0.012564884087437259,0.02963592637189919,0.06584097859327218,0.040873934791995956,0.0297029702970297,0.0297029702970297,0.027522935779816515,0.02857142857142857,0.0,0.0,0.0,0.0,0.05920480881866786,0.05920480881866786,0.17,0.08782379000726966,31.44323876708261,0.08381187154931559,0.035638981494816854,0.08381187154931559,0.11084097859327217,0.09544982108872054,0.029331733828003827,0.012356234947675819,0.029331733828003827,0.06250764525993883,0.039927482768021466,0.0297029702970297,0.0297029702970297,0.027522935779816515,0.02857142857142857,0.0,0.0,0.0,0.0,0.05829223118698176,0.05829223118698176,0.16,0.0854520285875689,24.70895438930149
vineyard_segmentation_paper/77,Altitudes 6x6 Tile,6x6,676x506,640x480,0.19184872662737934,0.07971602175330096,0.19184872662737934,0.31971917875826666,0.23980283625058701,0.05192321258480194,0.016520418792033132,0.05192321258480194,0.12876032310071397,0.07400397167877754,0.058127306035864856,0.058127306035864856,0.09120521172638436,0.0710027974285665,0.020384446200644158,0.020384446200644158,0.09090909090909091,0.03330169066257012,0.07725788551789678,0.07725788551789678,0.20416666666666666,0.1120974331305634,60.76925715099948,0.21331756586324813,0.08221624053363749,0.21331756586324813,0.36420617187570103,0.26905066919349474,0.056507889505399055,0.017154568949571226,0.056507889505399055,0.1434816405093278,0.08108269155247715,0.06481682329723656,0.06481682329723656,0.1270358306188925,0.08583732169003049,0.020232782085796652,0.020232782085796652,0.09090909090909091,0.033099025172378053,0.08447406313316395,0.08447406313316395,0.2125,0.12089095072082562,8.56761703912436
vineyard_segmentation_paper/78,Altitudes 2x2 Tile,2x2,2028x1520,1024x768,0.22140892495651984,0.09866838843481993,0.22140892495651984,0.33336544401176665,0.2660904638170748,0.09500994523471935,0.02839469629690127,0.09500994523471935,0.1952053359965241,0.12781165901306857,0.06221386367336112,0.06221386367336112,0.07967836257309942,0.06987132301707895,0.011309945584224077,0.011309945584224077,0.09714285714285714,0.020260987278430592,0.21150602644657288,0.21150602644657288,0.40879478827361565,0.2787762300097023,19.922060679779477,0.22527632972659511,0.08584164611524726,0.22527632972659511,0.3299905073940733,0.2677597341697488,0.08688713640317597,0.02619926523741118,0.08688713640317597,0.19067412468921127,0.11937637561686433,0.05820897720026145,0.05820897720026145,0.07748538011695906,0.06647799973049091,0.0058405237480303246,0.0058405237480303246,0.09714285714285714,0.011018577156551248,0.19661190826123612,0.19661190826123612,0.3973941368078176,0.26306944253582065,1.6755323110275715
vineyard_segmentation_paper/79,Altitudes 4x4 Tile,4x4,1014x760,1024x768,0.2037658926018286,0.08680370648695103,0.2037658926018286,0.2877257339007977,0.2385745263251152,0.05979649366380352,0.019218022443244987,0.05979649366380352,0.14590783323224207,0.08482832575301347,0.08261948717761529,0.08261948717761529,0.10440456769983687,0.09224323414454086,0.0039730087658447375,0.0039730087658447375,0.06338028169014084,0.007477301050382768,0.09279698504795053,0.09279698504795053,0.26993865030674846,0.13811432048513667,30.839541609133732,0.19840347299668148,0.08273084749526256,0.19840347299668148,0.269244848890982,0.2284584830361891,0.059619595928634715,0.01881700397945774,0.059619595928634715,0.1442765118619321,0.08437343343539018,0.07733180396135572,0.07733180396135572,0.09951060358890701,0.0870304198570283,0.0039730087658447375,0.0039730087658447375,0.06338028169014084,0.007477301050382768,0.09755397505870368,0.09755397505870368,0.26993865030674846,0.14331492139858482,24.05805681183399
vineyard_segmentation_paper/80,Altitudes 6x6 Tile,6x6,676x506,640x480,0.2054486599775804,0.0758057692516214,0.2054486599775804,0.2610588017399749,0.22993922024468383,0.04715781605083595,0.013089014733125612,0.04715781605083595,0.08807621650573401,0.06142657935891332,0.0528052805280528,0.0528052805280528,0.05102040816326531,0.05189750243269542,0.0037833051597842707,0.0037833051597842707,0.027777777777777776,0.006659582004959262,0.08488486246467078,0.08488486246467078,0.18543046357615894,0.11645835719314646,61.44038090123781,0.2186842481763558,0.07864900072608322,0.2186842481763558,0.29916142321534944,0.2526694516665422,0.0524288273275973,0.016120522441363534,0.0524288273275973,0.11131071265886781,0.07128260082062012,0.07072135785007072,0.07072135785007072,0.08163265306122448,0.07578628268283441,0.0003667033370003667,0.0003667033370003667,0.013888888888888888,0.0007145409074669525,0.0861984207957208,0.0861984207957208,0.23841059602649006,0.12661765886623916,8.792610857327587
vineyard_segmentation_paper/81,Altitudes 2x2 Tile,2x2,2028x1520,1024x768,0.20982830232662017,0.08251829293947201,0.20982830232662017,0.3129370209974744,0.25121422910578695,0.08114969982833564,0.02417754723158955,0.08114969982833564,0.18293766127519273,0.11242746519747239,0.014026402640264024,0.014026402640264024,0.015113350125944584,0.014549604165180799,0.02128011297264465,0.02128011297264465,0.16666666666666666,0.03774138085523167,0.2081425838720983,0.2081425838720983,0.367032967032967,0.2656412985714468,19.29324065384963,0.1929024261679294,0.06613847484948919,0.1929024261679294,0.3088038465872219,0.23746568241826926,0.07815983525549591,0.023816517462326603,0.07815983525549591,0.18840798160697406,0.11048548152997127,0.012101210121012103,0.012101210121012103,0.0163727959697733,0.01391659773247044,0.022775918583401552,0.022775918583401552,0.18181818181818182,0.040480894590262204,0.19960237706207412,0.19960237706207412,0.367032967032967,0.2585813025727466,1.718574412864447
