Roboflow Version Name,Description,Tile Size,Image Size,Backbone,ResNet Trained Image Size,mIoU,IoU_background,IoU_pole,IoU_trunk,IoU_vine_row,Precision_background,Precision_pole,Precision_trunk,Precision_vine_row,Recall_background,Recall_pole,Recall_trunk,Recall_vine_row,F1_background,F1_pole,F1_trunk,F1_vine_row,pixel_acc,FPS
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet18,1014x760,0.320965704,0.971422155,0.043402454,0,0.269038207,0.978836484,0.567275775,0,0.435315716,0.992239207,0.045070136,0,0.409976302,0.985471721,0.080609171,0,0.409566733,0.96934337,6.360385712
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet18,1280x960,0.348538082,0.971471445,0.248530082,0,0.1741508,0.976074739,0.59505639,0,0.429180439,0.995152325,0.3194379,0,0.229380059,0.985492542,0.392489264,0,0.28481758,0.969980946,5.894765092
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet18,2028x1520,0.314859669,0.970083196,0.237860282,0,0.051495199,0.971985199,0.650570101,0,0.291557526,0.997970545,0.29026262,0,0.059242535,0.984769523,0.376393845,0,0.096456814,0.968602863,3.970520025
vineyard_segmentation_paper/72_aug,Dataset vineyard_segmentation_paper-72_aug,unknown,unknown,resnet18,640x480,0.29246301,0.970450244,0,0,0.199401797,0.974519297,0,0,0.474342779,0.995680203,0,0,0.248986544,0.984966502,0,0,0.318428057,0.969777009,7.438344027
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet18,1014x760,0.314223095,0.958120743,0.179467505,0,0.119304133,0.962390366,0.494838983,0,0.434108812,0.995391645,0.220783652,0,0.144496047,0.978577868,0.295218933,0,0.209605473,0.95644442,5.353950282
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet18,1280x960,0.315809335,0.958322459,0.251474519,0,0.053440362,0.960299377,0.651521385,0,0.402442067,0.997853193,0.289122293,0,0.058925694,0.978683496,0.394888433,0,0.101093891,0.956986376,4.885053176
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet18,2028x1520,0.324942881,0.958489394,0.330902255,0,0.010379873,0.960013784,0.567668045,0,0.363813256,0.998335703,0.460706589,0,0.010553656,0.978774428,0.490472195,0,0.020287414,0.957359533,3.519751939
vineyard_segmentation_paper/73_aug,Dataset vineyard_segmentation_paper-73_aug,unknown,unknown,resnet18,640x480,0.368408534,0.959248339,0.199732161,0.026077297,0.288576338,0.969663558,0.504709292,0.12284221,0.533365804,0.988882063,0.24990764,0.030857616,0.391730411,0.979162693,0.329283811,0.046405404,0.444294321,0.958223368,6.098564192
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet18,1014x760,0.344626305,0.961594945,0,0,0.416910274,0.97725088,0,0,0.583167509,0.983578181,0,0,0.575676044,0.980397237,0,0,0.577160283,0.961782188,5.381734352
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet18,1280x960,0.347594494,0.961618206,0,0,0.428759768,0.978338779,0,0,0.582841253,0.982527378,0,0,0.607191835,0.980412932,0,0,0.589818901,0.961793396,4.943235159
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet18,2028x1520,0.352379205,0.962008681,0,0,0.447508138,0.980185259,0,0,0.575906273,0.981052776,0,0,0.658153715,0.980612616,0,0,0.611068639,0.962000464,3.21450912
vineyard_segmentation_paper/74_aug,Dataset vineyard_segmentation_paper-74_aug,unknown,unknown,resnet18,640x480,0.348519105,0.963527712,0,0,0.430548708,0.976582249,0,0,0.633884456,0.986324763,0,0,0.577042078,0.981406615,0,0,0.590191088,0.963960205,6.13428364
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet18,1014x760,0.341315639,0.980876254,0.227875285,0,0,0.981624675,0.483015529,0,0,0.999214045,0.331077658,0,0,0.990286073,0.343282606,0,0,0.980504975,19.5826463
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet18,1280x960,0.348665384,0.98081652,0.256639989,0,0,0.982284807,0.46432353,0,0,0.998461859,0.385109725,0,0,0.990254804,0.37466257,0,0,0.980380928,12.93212381
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet18,2028x1520,0.350103393,0.980907747,0.292831692,0,1.67E-05,0.982919538,0.484104427,0,0.075425783,0.997897398,0.508832505,0,1.67E-05,0.990304985,0.426247695,0,3.35E-05,0.980207491,5.24007638
vineyard_segmentation_paper/75_aug,Dataset vineyard_segmentation_paper-75_aug,unknown,unknown,resnet18,640x480,0.338816211,0.980642564,0.217680766,0,0,0.981549205,0.498370392,0,0,0.999043109,0.305048344,0,0,0.99016593,0.325559575,0,0,0.980273549,27.94378452
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet18,1014x760,0.634032129,0.990294387,0.111179829,0,3.85E-05,0.990964641,0.185782465,0,0.032119175,0.999292942,0.187043157,0,3.85E-05,0.995072875,0.164353781,0,7.69E-05,0.989676727,21.79808722
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet18,1280x960,0.628664471,0.989660113,0.095316659,0,0,0.990219342,0.206201533,0,0,0.999418222,0.180479094,0,0,0.994745077,0.149521983,0,0,0.989340205,13.56535952
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet18,2028x1520,0.622944045,0.989796691,0.104670009,0.000212191,0,0.990253801,0.226996954,0.042760042,0,0.999519927,0.179157673,0.000213765,0,0.994815159,0.161168351,0.000421653,0,0.989407856,5.395522506
vineyard_segmentation_paper/76_aug,Dataset vineyard_segmentation_paper-76_aug,unknown,unknown,resnet18,640x480,0.616698673,0.990140804,0.09964151,0,0.006513445,0.990832631,0.213220828,0,0.105109239,0.99926801,0.163122983,0,0.006748185,0.994992899,0.148259824,0,0.012196686,0.989684751,54.14257617
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet18,1014x760,0.734663647,0.990715414,0.046361677,0,1.77E-06,0.991547833,0.114575288,0,0.007435558,0.999093739,0.078040008,0,1.77E-06,0.99523893,0.071988421,0,3.53E-06,0.990269184,21.5554875
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet18,1280x960,0.746525233,0.990860924,0.043702697,0.045775686,0.004215966,0.991950826,0.12355952,0.14028982,0.033241849,0.99884539,0.063684083,0.05542237,0.006446397,0.995319086,0.066550291,0.069338962,0.006941469,0.990657484,13.86103297
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet18,2028x1520,0.729698889,0.99049787,0.026541287,0.004569404,8.43E-06,0.990815328,0.12967567,0.061113853,0.003833443,0.999655959,0.036991655,0.005101704,8.43E-06,0.99512734,0.042205251,0.008057925,1.68E-05,0.990321757,5.358600657
vineyard_segmentation_paper/77_aug,Dataset vineyard_segmentation_paper-77_aug,unknown,unknown,resnet18,640x480,0.743706484,0.990542579,0.029307546,0,7.97E-05,0.990948218,0.106946473,0,0.01786827,0.999554475,0.042243004,0,8.00E-05,0.995149611,0.046100877,0,0.000158713,0.99034246,56.75333159
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet18,1014x760,0.405264787,0.979024145,0.26519791,0,0,0.980205937,0.519917218,0,0,0.998746491,0.331666582,0,0,0.989336683,0.388724033,0,0,0.978524724,18.69712235
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet18,1280x960,0.41126731,0.979232881,0.285915103,0,0,0.980059517,0.546214295,0,0,0.999122259,0.371739558,0,0,0.98944368,0.420011172,0,0,0.978649593,12.61166639
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet18,2028x1520,0.411532111,0.979602069,0.286981187,0,0,0.9810825,0.463504079,0,0,0.998438659,0.465417782,0,0,0.989635466,0.41892633,0,0,0.978357238,5.201184689
vineyard_segmentation_paper/78_aug,Dataset vineyard_segmentation_paper-78_aug,unknown,unknown,resnet18,640x480,0.402150228,0.978783281,0.278516356,0,0.029392058,0.980683186,0.451882413,0,0.210012669,0.997988474,0.421531225,0,0.036437865,0.989210944,0.406657466,0,0.052571082,0.977876318,26.63160575
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet18,1014x760,0.646236765,0.990856084,0.148132794,0.004612192,0.000337508,0.991475424,0.263018432,0.137242508,0.022228674,0.999346687,0.200098135,0.004847692,0.000364193,0.995363071,0.212225133,0.008926888,0.000665107,0.990252928,22.45737495
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet18,1280x960,0.644429254,0.990886078,0.163863566,0.005224269,0,0.992449388,0.223517395,0.124194864,0,0.998363939,0.303738984,0.005698845,0,0.995376063,0.234092163,0.010118086,0,0.989885373,13.41823301
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet18,2028x1520,0.647242572,0.990655154,0.169601252,9.82E-06,0,0.991855525,0.247494009,0.022868705,0,0.998747339,0.299906691,9.82E-06,0,0.995258608,0.243095016,1.96E-05,0,0.98998082,5.355844148
vineyard_segmentation_paper/79_aug,Dataset vineyard_segmentation_paper-79_aug,unknown,unknown,resnet18,640x480,0.681048646,0.990994988,0.171693483,0.091261885,0.001680406,0.992546461,0.279654801,0.233194041,0.053710789,0.998389614,0.253071272,0.108912621,0.001761255,0.995435776,0.237701251,0.137442608,0.003284643,0.990722661,54.2733091
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/80_aug,Dataset vineyard_segmentation_paper-80_aug,unknown,unknown,resnet18,1014x760,0.855700427,0.996773065,0.017707492,0,7.36E-05,0.996830282,0.089708276,0,0.00491419,0.99993638,0.023159047,0,7.54E-05,0.998361666,0.028242553,0,0.000145469,0.996744366,22.35589177
vineyard_segmentation_paper/80_aug,Dataset vineyard_segmentation_paper-80_aug,unknown,unknown,resnet18,1280x960,0.855473297,0.996633201,0.002281299,0,0,0.996639821,0.041891805,0,0,0.99999309,0.00286551,0,0,0.998288502,0.004047856,0,0,0.996632115,13.60083839
vineyard_segmentation_paper/80_aug,Dataset vineyard_segmentation_paper-80_aug,unknown,unknown,resnet18,2028x1520,0.835578439,0.996586096,0.050078735,0,1.04E-06,0.997245039,0.087434502,0,0.006011976,0.999312116,0.101864589,0,1.04E-06,0.998264968,0.072804037,0,2.08E-06,0.996491111,5.326348104
vineyard_segmentation_paper/80_aug,Dataset vineyard_segmentation_paper-80_aug,unknown,unknown,resnet18,640x480,0.85623421,0.996837425,0.044776983,0,0.000455067,0.997298429,0.090883891,0,0.01173467,0.999514599,0.085559374,0,0.000474436,0.99839516,0.065230204,0,0.000887539,0.996707488,56.51848327
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/81_aug,Dataset vineyard_segmentation_paper-81_aug,unknown,unknown,resnet18,1014x760,0.321977861,0.980881371,0.156919475,0,0.088443494,0.985329126,0.464566205,0,0.224410535,0.995317192,0.209751001,0,0.127036934,0.990260578,0.251644307,0,0.146377687,0.979730065,11.47173525
vineyard_segmentation_paper/81_aug,Dataset vineyard_segmentation_paper-81_aug,unknown,unknown,resnet18,1280x960,0.336111236,0.98147204,0.248788161,0,0.038500236,0.983711636,0.433708305,0,0.224744304,0.997658416,0.337942413,0,0.071018556,0.990563538,0.363439577,0,0.070893633,0.980851279,11.7608974
vineyard_segmentation_paper/81_aug,Dataset vineyard_segmentation_paper-81_aug,unknown,unknown,resnet18,2028x1520,0.333682918,0.982031295,0.264483568,0,0.01619132,0.983436892,0.450411294,0,0.188867497,0.998521828,0.364025305,0,0.017355532,0.990853228,0.389327026,0,0.031155312,0.981325847,4.935418185
vineyard_segmentation_paper/81_aug,Dataset vineyard_segmentation_paper-81_aug,unknown,unknown,resnet18,640x480,0.268698061,0.980617218,0.000408047,0,0.038487555,0.982071724,0.166666667,0,0.192439005,0.998434812,0.000408047,0,0.046038704,0.990114899,0.000812839,0,0.069798356,0.980069038,24.63005945
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/82_aug,Dataset vineyard_segmentation_paper-82_aug,unknown,unknown,resnet18,1014x760,0.574732354,0.992739261,0.135110408,0,4.46E-05,0.993528182,0.190356172,0,0.052461781,0.999188528,0.272632264,0,4.47E-05,0.996334393,0.19183097,0,8.91E-05,0.992364791,21.49348506
vineyard_segmentation_paper/82_aug,Dataset vineyard_segmentation_paper-82_aug,unknown,unknown,resnet18,1280x960,0.644703562,0.992635029,0.09640616,0,0,0.992748622,0.180267474,0,0,0.999881472,0.124298255,0,0,0.996280596,0.137186295,0,0,0.992465996,13.51109344
vineyard_segmentation_paper/82_aug,Dataset vineyard_segmentation_paper-82_aug,unknown,unknown,resnet18,2028x1520,0.595817262,0.992739442,0.125693812,0,2.36E-05,0.992945117,0.254069951,0,0.029723422,0.999787649,0.175214468,0,2.36E-05,0.996334323,0.181324359,0,4.71E-05,0.992527421,5.262838309
vineyard_segmentation_paper/82_aug,Dataset vineyard_segmentation_paper-82_aug,unknown,unknown,resnet18,640x480,0.608428322,0.992834075,0.116505115,0,0.008788361,0.993400993,0.191253495,0,0.10845088,0.999413505,0.191123085,0,0.009485109,0.996382078,0.16426708,0,0.016757887,0.992484101,53.37620289
,,,,,,,,,,,,,,,,,,,,,,,,
vineyard_segmentation_paper/83_aug,Dataset vineyard_segmentation_paper-83_aug,unknown,unknown,resnet18,1014x760,0.772021737,0.996715493,0.047502267,0,0.000362896,0.996952191,0.110995686,0,0.038456808,0.999756677,0.082211044,0,0.000369235,0.998339007,0.072359725,0,0.000720516,0.996549692,22.21574193
vineyard_segmentation_paper/83_aug,Dataset vineyard_segmentation_paper-83_aug,unknown,unknown,resnet18,1280x960,0.803408963,0.996901163,0.062093941,0,0.000643091,0.997216719,0.113786771,0,0.027235585,0.9996746,0.099088711,0,0.000655115,0.998433455,0.088901834,0,0.001263771,0.996686108,13.69456963
vineyard_segmentation_paper/83_aug,Dataset vineyard_segmentation_paper-83_aug,unknown,unknown,resnet18,2028x1520,0.7420914,0.996612894,0.047942743,0,0.00066286,0.996917657,0.104513614,0,0.0354025,0.999688192,0.072400488,0,0.000673408,0.998287251,0.071835585,0,0.001307795,0.996479111,5.392889057
vineyard_segmentation_paper/83_aug,Dataset vineyard_segmentation_paper-83_aug,unknown,unknown,resnet18,640x480,0.826758774,0.996667673,0.031031769,0,0.000769411,0.996691953,0.134834042,0,0.062056034,0.999974827,0.035069766,0,0.0007785,0.998314069,0.050566006,0,0.001510241,0.996576948,55.20262476
